Afghanistan|29021099
Albania|3143291
Algeria|34373426
American Samoa|66107
Andorra|83811
Angola|18020668
Antigua and Barbuda|86634
Argentina|39882980
Armenia|3077087
Aruba|105455
Australia|21431800
Austria|8336926
Azerbaijan|8680100
Bahamas|337668
Bahrain|775585
Bangladesh|160000128
Barbados|255203
Belarus|9680850
Belgium|10708433
Belize|322100
Benin|8662086
Bermuda|64200
Bhutan|686789
Bolivia|9694113
Bosnia and Hercegovina|3773100
Botswana|1921122
Brazil|191971506
Brunei Darussalam|392280
Bulgaria|7623395
Burkina Faso|15233884
Burundi|8074254
Cambodia|14562008
Cameroon|19088385
Canada|33311400
Cape Verde|498672
Cayman Islands|54248
Central African Republic|4339263
Chad|10913667
Channel Islands|149581
Chile|16803952
China|1324655000
Colombia|45012096
Comoros|643571
Democratic Republic of the Congo|64256635
Republic of the Congo|3615152
Costa Rica|4519126
Cote d'Ivoire|20591302
Croatia|4434000
Cuba|11204735
Cyprus|862434
Czech Republic|10424336
Denmark|5493621
Djibouti|849245
Dominica|73193
Dominican Republic|9952711
Ecuador|13481424
Egypt|81527172
El Salvador|6133910
Equatorial Guinea|659197
Eritrea|4926877
Estonia|1340675
Ethiopia|80713434
Faeroe Islands|48512
Fiji|844046
Finland|5313399
France|62277432
French Polynesia|265702
Gabon|1448159
Gambia|1660200
Georgia|4307011
Germany|82110097
Ghana|23350927
Greece|11237094
Greenland|56328
Grenada|103538
Guam|175552
Guatemala|13686128
Guinea|9833055
Guinea-Bissau|1575446
Guyana|763437
Haiti|9876402
Honduras|7318789
Hong Kong|6977700
Hungary|10038188
Iceland|317414
India|1139964932
Indonesia|227345082
Iran|71956322
Iraq|30711152
Ireland|4425675
Isle of Man|80543
Israel|7308800
Italy|59832179
Jamaica|2687200
Japan|127704000
Jordan|5906043
Kazakhstan|15674833
Kenya|38765312
Kiribati|96558
North Korea|23818753
South Korea|48607000
Kosovo|1795000
Kuwait|2728041
Kyrgyz Republic|5277900
Laos|6205341
Latvia|2266094
Lebanon|4193758
Lesotho|2049429
Liberia|3793400
Libya|6294181
Liechtenstein|35629
Lithuania|3358115
Luxembourg|488650
Macao|526178
Macedonia|2041342
Madagascar|19110941
Malawi|14846182
Malaysia|27014337
Maldives|305027
Mali|12705736
Malta|411950
Marshall Islands|59667
Mauritania|3215043
Mauritius|1268854
Mayotte|191187
Mexico|106350434
Micronesia|110414
Moldova|3633369
Monaco|32715
Mongolia|2641216
Montenegro|622344
Morocco|31605616
Mozambique|22382533
Myanmar|49563019
Namibia|2129854
Nepal|28809526
Netherlands|16445593
Netherlands Antilles|195253
New Caledonia|246705
New Zealand|4268900
Nicaragua|5667325
Niger|14704318
Nigeria|151212254
Northern Mariana Islands|85364
Norway|4768212
Oman|2785361
Pakistan|166111487
Palau|20279
Panama|3398823
Papua New Guinea|6576822
Paraguay|6237855
Peru|28836700
Philippines|90348437
Poland|38125759
Portugal|10622413
Puerto Rico|3954037
Qatar|1280862
Romania|21513622
Russia|141950000
Rwanda|9720694
Samoa|178869
San Marino|31006
Sao Tome and Principe|160174
Saudi Arabia|24645686
Senegal|12211181
Serbia|7350221
Seychelles|86956
Sierra Leone|5559853
Singapore|4839400
Slovakia|5406626
Slovenia|2021316
Solomon Islands|510672
Somalia|8926326
South Africa|48687000
Spain|45555716
Sri Lanka|20156204
St. Kitts and Nevis|49190
St. Lucia|170205
St. Vincent and the Grenadines|109117
Sudan|41347723
Suriname|515124
Swaziland|1167834
Sweden|9219637
Switzerland|7647675
Syria|20581290
Tajikistan|6836083
Tanzania|42483923
Thailand|67386383
Timor-Leste|1098386
Togo|6458605
Tonga|103566
Trinidad and Tobago|1333388
Tunisia|10327800
Turkey|73914260
Turkmenistan|5043618
Uganda|31656865
Ukraine|46258200
United Arab Emirates|4484935
United Kingdom|61414062
United States|304060000
Uruguay|3334052
Uzbekistan|27313700
Vanuatu|233866
Venezuela|27935000
Vietnam|86210781
Virgin Islands|109840
West Bank and Gaza|3937309
Yemen|22917485
Zambia|12620219
Zimbabwe|12462879
